SEASON,WINS,LOSSES,WIN_PCT,SEED,PLAYOFF_RESULT,COACH,ORTG,rORTG,DRTG,rDRTG,NET,SRS,PACE,rPACE
2025-26,32,50,39.00%,11,,D. Rivers,112.9,-2.9,119.3,3.5,-6.4,-6.12,97.6,-1.8
2024-25,48,34,58.50%,5,Lost E. Conf. 1st Rnd.,D. Rivers,115.9,1.4,113.4,-1.1,2.5,2.12,99.3,0.5
2023-24,49,33,59.80%,3,Lost E. Conf. 1st Rnd.,"A. Griffin (30-13), J. Prunty (2-1), D. Rivers (17-19)",118.4,3.1,115.8,0.5,2.6,2.44,99.9,1.4
2022-23,58,24,70.70%,1,Lost E. Conf. 1st Rnd.,M. Budenholzer ,115.4,0.6,111.9,-2.9,3.5,3.61,100.5,1.4
2021-22,51,31,62.20%,2,Lost E. Conf. Semis,M. Budenholzer,115.1,3.1,111.8,-0.2,3.3,3.22,99.9,1.7
2020-21,46,26,63.90%,3,Won Finals,M. Budenholzer,117.2,4.9,111.4,-0.9,5.8,5.57,102.2,3
2019-20,56,17,76.70%,1,Lost E. Conf. Semis,M. Budenholzer,112.4,1.8,102.9,-7.7,9.5,9.41,105.1,4.8
2018-19,60,22,73.20%,1,Lost E. Conf. Finals,M. Budenholzer,113.8,3.4,105.2,-5.2,8.6,8.04,103.3,3.3
2017-18,44,38,53.70%,7,Lost E. Conf. 1st Rnd.,"J. Kidd (23-22), J. Prunty (21-16)",109.8,1.2,110.1,1.5,-0.3,-0.45,96.3,-1
2016-17,42,40,51.20%,7,Lost E. Conf. 1st Rnd.,J. Kidd ,109.1,0.3,109.3,0.5,-0.2,-0.45,94.5,-1.9
2015-16,33,49,40.20%,12,,J. Kidd,104.3,-2.1,108.7,2.3,-4.4,-3.98,94.2,-1.6
2014-15,41,41,50.00%,6,Lost E. Conf. 1st Rnd.,J. Kidd,102.7,-2.9,102.2,-3.4,0.5,-0.09,94.1,0.2
2013-14,15,67,18.30%,15,,L. Drew,103,-3.7,111.8,5.1,-8.8,-8.41,91.8,-2.1
