SEASON,AGE,GP,PPG,RPG,APG,TOV,STL,BLK,FGA,TS%,rTS%
2013-14,19,77,10,6.4,2.8,2.3,1.1,1.2,5.4,51.8,-2.3
2014-15,20,81,14.6,7.7,2.9,2.5,1,1.2,9.6,55.2,1.8
2015-16,21,80,17.2,7.8,4.4,2.7,1.2,1.4,12.7,56.6,2.5
2016-17,22,80,23.2,8.9,5.5,3,1.7,1.9,15.7,59.9,4.7
2017-18,23,75,26.3,9.8,4.7,2.9,1.4,1.4,18.7,59.8,4.2
2018-19,24,72,30.4,13.7,6.5,4.1,1.4,1.7,17.3,64.4,8.4
2019-20,25,63,34.9,16.1,6.6,4.3,1.1,1.2,19.7,61.3,4.8
2020-21,26,61,30.7,12,6.4,3.7,1.3,1.3,18,63.3,6.1
2021-22,27,67,32.7,12.7,6.3,3.6,1.2,1.5,18.6,63.3,6.7
2022-23,28,63,34.8,13.2,6.4,4.4,0.9,0.9,20.3,60.5,2.4
2023-24,29,73,31.2,11.8,6.7,3.5,1.2,1.1,18.8,64.9,6.9
2024-25,30,67,32,12.6,6.8,3.2,0.9,1.2,19.7,62.5,4.9
2025-26,31,36,34.4,12.2,6.8,4,1.2,0.8,16.6,65.8,7.7
